Name,BRISQUE,CCF,CPBDM,FADE,JNBM,LPC,ILNIQE,NIQE,SSEQ,ROBUST
result_000071.png,13.0129,20.148,0.63328,0.38796,5.0533,0.27195,19.661,2.3648,26.0233,0
result_000123.png,13.2491,22.8169,0.71383,0.51968,5.5583,0.30329,21.9742,4.018,10.7258,0
result_15426.png,24.125,8.6394,0.81151,2.2226,13.0284,0.22316,38.8653,7.458,24.9703,0
result_15544.png,21.7214,9.1072,0.82885,2.5582,18.471,0.29557,20.67,5.3382,24.6249,0
result_1573.png,9.4898,17.3419,0.61263,0.64403,12.3075,0.46446,28.8536,6.0335,29.38,0
result_28_img_.png,8.3945,20.5269,0.67378,0.4228,12.9838,NaN,24.6789,2.4694,20.4105,0
result_372_img_.png,15.8718,7.6756,0.79919,1.4396,15.1956,0.30104,31.5234,3.9956,22.1352,0
result_436_img_.png,6.5543,21.4407,0.67358,0.47209,3.6642,0.28788,21.3514,3.0251,15.501,0
result_444_img_.png,-7.4258,12.854,0.81761,0.55978,6.1811,0.26817,28.6225,5.5289,18.9665,0
result_476_img_.png,6.4266,13.6524,0.76627,0.85568,1.9474,0.22412,29.7555,3.7645,9.853,0
result_493_img_.png,10.6324,11.4019,0.58939,1.3651,12.7855,0.20698,23.3886,3.5963,28.345,0
result_568_img_.png,32.0291,9.3141,0.9051,2.0036,3.7367,0.26811,34.453,6.097,19.2268,0
result_573_img_.png,9.8244,9.8059,0.81728,1.8215,3.417,0.17584,46.9165,4.5292,19.9939,0
result_748_img_.png,11.0724,9.2713,0.77288,1.0677,14.7829,0.12282,33.2477,4.8036,21.4062,0
result_758.png,3.5297,20.8576,0.58768,0.62583,10.8384,0.4015,29.9698,6.2145,33.4983,0
result_906_img_.png,44.0723,10.1045,0.89678,0.7211,14.895,0.22866,46.762,9.4054,29.8484,0
result_910_img_.png,43.715,12.1017,0.88492,0.60199,13.4976,0.31425,40.5962,7.5646,34.4938,0
result_fish.png,21.6994,13.9958,0.82983,0.45464,5.3988,0.248,28.3194,6.4022,25.6209,0
result_reef2.png,30.4285,21.6707,0.80534,0.29262,12.321,0.37206,27.4961,4.4435,28.0144,0
Mean_value,16.7591,14.354,0.75893,1.0019,9.7928,NaN,30.374,5.108,23.3178,0
